ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Flavisolibacter	0	0	0	0.026889	0	0	0	0	0	0.218729	0	8.31718	0	0.018131	0.143606
Flavitalea	0	0	0	0	0.029323	0	0.586356	0.223238	0.40674	0	0	0.258535	0	0	0
Flavobacterium	0.037808	0	0.01481	0.366369	0.449319	0.084131	0	0	0	1.04174	18.696432	8.99069	0.728216	1.080012	4.38088
Fontisubflavum	0.863533	3.36462	5.47942	15.6477	32.7646	43.1853	78.2353	26.4436	47.6134	31.3637	18.8931	5.87872	2.411637	0.035983	0.979204
Frigidibacter	0	0	0	0	0	0	0	0	0	3.223923	0.488828	9.07256	7.46998	16.81849	20.78733
Fulvimarina	4.04929	0.665863	1.50605	6.55815	3.39815	0.774035	9.46514	48.3274	25.0681	22.468	24.6147	5.95284	49.9311	30.2842	25.4314
Fulvivirga	0	0	0.072118	0.286995	0.207134	0	0.097539	0	0	3.852606	47.419253	86.93838	0.431738	3.225662	8.426752
Gaiella	0	0	0	0	0	0	0	0	0	0	0	0.875745	0.024354	0	0.887943
Galbibacter	0	0	0	0	0	0	0.047099	0	0	0	0.074767	9.23859	0	0.143416	0.020287
Gemmobacter	0	0	0	0	0	0	0	0	0	0.467264	0.316018	2.36573	1.796825	5.365392	7.72166
Gilvimarinus	0	0	0	0	0	0	0	0	0	0.123621	0	0	0.141561	0.132962	0.0698
Gluconacetobacter	0	0	0	0	0	0	0	0	0	3.7072	1.539536	45.8872	1.810478	1.76316	3.24293
Glycocaulis	0	0.133006	0.031073	2.314983	1.813048	0.964252	5.529633	0	22.686997	1205.999315	3425.864252	798.52089	100.753965	73.540531	94.68732
Gracilimonas	0	0	0.064951	1.36876	0.6712	0	0	0	0	2.6213	1.48367	4.08771	2.09417	1.648	7.54326
Haliea	0	0	0	0	0.019483	0	0	0	0	13.920539	1.479576	0.267292	5.612501	7.298422	7.254763
Halioglobus	0	0	0	0	0	0	0	0	0	3.82311	0.615161	1.49148	0.336749	0.238277	0.737174
Halomonas	0	0	0.042181	0.047884	1.246722	1.594868	1.07747	0	0.168562	5018.413936	215.999977	733.916424	4254.24781	823.10267	1410.46476
Halotalea	0	0	0	0	0	0	0	0	0	3.08207	0.561133	23.7953	0.64045	1.41926	1.76364
Halovulum	0	0	0	0	0	0	0	0	0	0.703107	0.671108	2.46036	1.75669	8.88613	12.4054
Henriciella	1.926731	0.066383	0.409691	0.045646	0.036648	0	121.282647	248.58461	113.398818	559.075265	314.481958	152.368474	150.715307	120.925695	82.98334
Herbiconiux	0	0	0	0	0	0	0	0	0	1.933678	0.233433	0.724695	0.131778	0.426385	0.112139
Histidinibacterium	0	0	0	0	0.012393	0	0	0	0	0.089026	0.548868	1.73587	1.2301	8.73084	13.0289
Hoeflea	10.96834	4.372658	9.579757	43.26394	27.97972	16.529089	31.54245	130.12091	68.94681	84.803494	59.620513	19.96393	148.820818	70.745839	67.44341
Hydrogenophaga	0	0	0	0	0	0	0	0	0	2.29844	0.745006	22.9126	0.59429	1.12519	1.15212
Hymenobacter	0	0	0.027227	0.377167	0.673641	0.256887	0	0	0	3.4237	0.618437	4.904386	1.826916	1.34149	7.19321
Hyphobacterium	3.345707	3.448439	5.043411	11.215514	1.380866	0.448171	0	0	0	124.220517	3.136798	5.138049	16.63912	10.510153	94.26995
Hyphomicrobium	2.50413	7.02529	7.79087	18.6753	48.1805	53.7998	100.643	23.7949	81.1356	37.1013	28.29895	12.09092	0.28343	0.313383	0.352629
Hyphomonas	1.89636	0.413019	0.907863	4.32403	2.52986	0.323833	6.58218	38.2246	21.160092	26.86804	23.058307	10.289816	42.764514	36.067444	37.177574
Iamia	0	0	0	0	0	0	0	0	0	0	0	2.035704	0.265809	0.013834	2.399794
Idiomarina	0	0	0	0	0	0	0	0	0	1.00797	0.043274	0.937944	0.502644	0.64795	0.401326
Ilumatobacter	0	0	0	0	0	0	0	0.202884	0	0.500264	0.195581	13.940662	1.402036	0.301486	14.889935
Imperialibacter	0	0	0	0	0	0	0	0	0	0.126705	0.033009	13.8007	0.014546	0.094471	0.124907
Indioceanicola	0	0	0	0	0	0	0	0	0	7.04527	0.837688	2.26888	16.564807	0.74367	0.821562
Jannaschia	0	0	0	0	0	0	0	0	0	24.4948	1.02815	4.10323	4.188871	4.223364	5.86843
Jejuia	10.9486	1.74039	2.00858	7.79791	1.56915	1.05995	0	0.48785	0	1.00134	0	0	1.5823	1.18087	0.461322
Jiangella	0	0	0	0	0	0	0	0	0	0	0	1.24072	0.101716	0.018339	1.0789
Kandeliimicrobium	0	0	0.009925	0	0	0	0	0	0	0	0.257082	2.45084	1.12224	4.41697	7.56914
Kaustia	2.56418	0.337427	1.381434	5.43421	3.07417	0.995533	8.789878	52.77759	24.273956	22.3949	24.5226	8.36677	51.455712	30.380664	25.8542
Kiloniella	0	0	0	0	0	0	0.04608	0	0	17.488	0	4.75234	2.33345	0.105198	2.28237
Labrenzia	3.69513	0.407963	2.00982	6.15282	3.70899	0.676318	6.66732	43.6124	23.0262	18.956157	24.701445	5.884863	49.551375	29.419794	25.961194
Lacticaseibacillus	2.777399	0.160467	0	0.300039	0	1.679034	1.023667	1.191531	1.249121	2.63268	0.549536	3.441253	0.285446	0.056019	0.02467
Lamprocystis	0	0	0	0	0	0	0	0	0	11.8155	0	3.26374	1.72549	0.110884	0.940786
Leisingera	0	0	0	0	0	0	0	0	0	0	1.64366	2.58128	0.012628	0.335547	0.320063
Lentilitoribacter	0	0	0	0	0	0	0	0	0	0.040431	0.832086	0	0.287027	3.87346	0
Lewinella	0	0	0.017271	0.70185	0.322688	0.14946	0	0	0	1.95675	0.797484	2.6437	0.603577	0.638208	2.68742
Limnobacter	0.864658	1.309909	1.522865	0	0.252408	0.151376	0	0	0.25272	0.300189	0.652539	5.301104	0.238992	1.245835	1.944968
Litoreibacter	5.00366	3.936404	6.321807	32.17955	19.49436	12.919077	19.02937	42.55312	22.80119	48.096351	19.323076	13.188656	38.94452	19.653075	21.347902
Loktanella	0	0	0.006081	0	0	0	0	0	0	14.556833	0.234593	5.83522	3.84699	6.548489	10.478
Longimonas	0	0	0	0	0	0	0	0	0	0	15.4257	5.47411	0	1.12072	2.00096
Lutimaribacter	0	0	0	0	0	0	0	0	0	18.9858	0	3.53546	2.74213	0.121025	1.58237
Mameliella	4.32443	18.9476	21.1987	69.1943	137.071	225.389	398.123	86.044	228.853	110.564336	65.679111	22.462953	1.225063	0.192868	0.668868
Mangrovibacterium	0	0	0	0	0	0	0.455495	0.370737	0.271257	0	0	0.107377	0	0	0
Mangrovicoccus	14.9753	11.904979	21.148005	107.74021	61.71997	54.062007	51.34032	12.09533	28.7806	0	2.715456	0.710732	0	0.099021	0.147946
Mangrovivirga	0	0	0	0	0	0	0	0	0	0.099571	0.203462	12.0559	0.022958	0.099199	0.111755
Maribacter	32.570774	4.576896	6.420627	19.903539	6.17439	3.60548	0.454364	0.223327	0.711608	5.055833	0.951336	13.915563	6.566483	3.430094	4.764114
Maricaulis	0	0.04756	0.033779	0.218039	0.023328	0	0	0	0	27.03456	5.925843	11.113746	2.720541	1.53611	6.677469
Mariluticola	0	0	0	0	0	0	0	0	0	1.1967	0.05309	2.37829	0.750078	1.294256	1.310595
Marinibacterium	0	0	0	0	0	0	0	0	0	3.020546	0.13024	2.151541	0.392537	0.300327	0.251201
Marinicauda	0	0	0	0.013768	0.007706	0.046807	0	0	0	87.45443	18.288013	35.2132	5.762795	5.013416	18.809648
Marinilabilia	0	0	0	0	0	0	0.031607	0	0	0.144576	0.050642	8.70074	0.022092	0.119665	0.122358
Marinimicrococcus	2.99729	0.416787	1.03947	4.13322	2.47679	0.544663	8.56494	35.1236	19.7805	15.2938	18.1464	4.15139	36.7666	20.7264	19.3691
Marinobacter	11737.28815	18243.99108	15318.96373	992.839703	943.532647	1315.295998	10.313345	16.600853	16.614939	0.431938	0.205161	0.657673	0.294206	0.13671	0.225695
Marinoscillum	0	0.084756	0.106034	0	0.071565	0.0243	5.175335	0	0.231367	52.754508	17.58382	2077.7397	2.639425	21.220927	26.35683
Marinovum	0	0	0	0.026595	0	0	0	0	0	1.441139	0.346442	6.086608	3.755199	16.073048	26.073318
Maritalea	0	0	0	0	0	0	0	0	0	13.434262	0.149707	3.88106	3.45306	5.999061	9.35713
Maritimibacter	0.042622	0	0.030995	0	0	0	0.152543	0	0	128.890553	10.74057	51.582725	11.494852	17.342148	9.206461
Marivirga	0	0.084118	2.045963	1.928335	0.328168	0.389336	0.076829	5.07435	0	0	4805.762	1918.70039	4.228133	238.541229	393.195654
Marivita	652.7948	67.94224	81.441547	805.513	494.854768	579.5176	187.82781	1629.0262	460.14723	640.819366	121.166529	215.18483	31.082355	44.317756	70.811973
Marivivens group	1.7909	0.264805	0.960384	3.68599	2.32736	0.569044	4.43184	31.9095	15.2717	12.9901	15.718	4.15057	31.8122	17.7464	16.1786
Marixanthomonas	0	0	0.03596	0.290801	0.611085	0.054155	0	0	0	2.14563	0.874284	3.54157	1.02445	0.836714	4.27414
Martelella	3.2135	0.443273	1.54537	6.03715	3.49322	0.733259	9.662391	51.3561	21.3082	21.551518	25.332582	34.29634	59.205256	37.206079	41.070189
Melioribacter	0	0	0	0	0	0	0	0	0	0	0	9.27639	0.015465	0.117153	0.075818
Mesobacterium	0	0	0	0	0	0	0	0	0.058387	0.770415	0.618792	4.03013	2.69002	10.74463	16.93764
Mesobaculum	0	0	0	0	0	0	0	0	0	1.63549	0.094829	0.85419	0.125134	0.105365	0.102397
Mesorhizobium	31.060456	2.729057	8.614175	42.101188	22.734288	7.005676	89.36207	501.210664	330.4662	187.267988	204.075831	105.245574	518.556429	913.370881	1592.378797
Methylobacterium	8.3267	3.157892	7.39171	35.7063	23.60453	16.496059	26.55471	88.81285	48.26062	37.324233	45.0398	9.731692	91.7897	55.6573	45.491452
Methylocapsa	0	0	0	0	0	0	1.49967	0.90848	0.333091	0.580701	0	1.05271	0.639363	0.543838	0.527045
Methyloceanibacter	0	0	0	0	0.019483	0	0	0	0	0.408339	2.819521	0.67151	1.479884	5.576667	9.947864
Methylococcus	2.72804	0.101789	0.956675	3.71826	2.27432	0.539033	5.89406	36.1223	18.9649	11.5254	17.0113	4.01401	34.5181	20.26	17.3865
Methylocystis	0	0	0	0	0	0	0	0	0	20.073	0.096432	6.16822	2.36409	0.099587	2.20891
Methyloligella	3.84514	0.151954	1.26122	6.82095	3.1306	0.604479	7.74816	49.5599	24.0449	20.0602	24.3042	5.01285	54.3966	31.2965	29.116
Methyloversatilis	6.212445	0.983548	1.065058	3.295514	1.107988	3.759118	3.241231	15.360605	4.667437	15.510158	7.870882	10.422075	0.290023	0.142819	0.210179
Microbacterium	9.22282	9.54982	14.2812	71.1897	45.7544	41.1254	33.3492	7.12505	14.081	1.12699	1.82824	0.675193	0	0.120163	0.181062
