ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
S13	182.706123	161.26523	161.181725	173.664196	155.846809	129.520244	154.948113	149.676354	154.759809	78.46053	74.574151	91.448359	106.581435	135.017814	119.886479
S15	352.508388	320.203558	279.882332	127.52173	104.01712	69.549313	40.245862	71.759548	71.179813	22.248273	40.66231	42.693638	12.909575	8.836339	14.361865
S26A	0	0	0	0	0	0	0.258881	0.59206	1.77889	28.6307	0	6.24267	5.079274	0.497342	2.82241
S26C	4.27298	4.89283	12.30038	45.6229	54.3388	54.8877	105.4056	47.0466	62.18333	51.502768	56.769868	14.837355	22.930488	6.449858	2.588356
S33	300.720747	324.103299	300.748302	197.105455	181.075557	149.773854	146.115864	148.001559	160.547765	270.409184	256.810439	359.325171	292.33717	344.476088	340.020362
S41	0	0	0	0	0	0	0	0	0	0	0	0	0.314627	0.24148	0.482478
S41A	395.898062	313.655029	311.245232	309.3744	277.542701	201.95339	218.374426	276.904952	279.042898	276.127486	365.655813	280.851843	424.777576	494.575742	417.79013
S41B	104.20387	28.071647	54.115424	136.03299	125.931963	67.313915	101.303303	125.275102	147.04166	101.406589	102.326264	125.785834	194.647011	212.318874	178.75848
S45	287.765326	315.263276	262.382103	147.612587	135.973652	80.653941	91.34256	117.832489	138.441234	57.234481	78.734407	128.928054	39.085309	25.837037	63.36358
S46	0.023803	0	0	0.02389	0.032889	0.013278	1.847274	0.916593	2.273504	0.23901	1.692208	4.05471	0.302451	0.328329	0.251197
S49A	0.078045	0.013154	0.050007	0.427655	0.312775	0.097746	0	0	0	20.574903	20.698162	23.590554	90.666906	116.31869	81.50529
S49B	0.131627	0.067979	0.063807	0.508014	0.731296	0.337614	17.2733	8.831944	16.98914	4.28605	9.089671	2.052291	20.818885	21.993777	14.748806
S49C	34.72553	10.029041	17.838513	41.662368	43.926486	22.507012	36.843971	46.699631	53.428026	25.638548	89.857546	48.770177	3.943036	3.862361	14.901399
S51	0	0	0	0.136359	0.011289	0	0.123842	0	0	1.154053	53.763167	31.70741	0.134336	3.024021	5.17429
S55	0	0	0	0	0.016808	0	0.02529	0	0.091784	0.34649	0.63047	1.46191	2.97047	4.04142	6.78413
S66	0	0.063214	0.082717	0.710587	0.805463	0.170328	0.411607	0.289294	0.633626	3.004983	1.401076	4.53881	1.6757	1.281938	7.27554
S82	29.4492	8.34964	16.1111	42.5462	39.5272	20.0196	18.107854	36.6499	34.3763	14.27348	18.07958	18.183326	19.79699	23.91715	8.28551
S85	321.527559	404.869872	322.13807	194.58281	127.130467	160.00669	166.797921	140.575324	176.03008	183.676017	195.783977	128.304443	159.960424	208.173326	159.24982
T01A	0	0	0	0	0.432469	0.414345	0	0	0	0	2.72713	0.831058	0	0	0
T02	79.7172	21.11375	42.810652	99.434175	94.805455	50.77667	45.350445	70.456275	78.110801	91.110529	149.911787	118.68097	135.041251	153.390651	123.840908
T03	196.893765	153.821898	171.080118	198.683359	184.719545	133.608004	176.478891	187.668085	208.725477	196.760782	187.872037	180.592756	213.111739	188.866468	164.615072
U69	0.038376	0.010508	0.036428	0.372734	0.297392	0.073877	0.072338	0.059303	0.086642	25.797266	30.940313	39.262449	21.636966	11.592075	14.691506
X15	0.948732	0	0	0.219577	0	0.253297	0	0.468007	0	0.956606	0.147419	0.271631	0	0	0
X52	15.242207	4.159701	5.914133	35.409076	40.301887	47.073662	70.144397	57.363828	60.194755	51.034928	61.730447	24.370117	3.995619	6.382524	10.112718
