ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
M75	87.146109	77.573498	96.518697	60.208341	61.948104	145.885199	64.774192	66.762415	53.129647	60.966232	123.675223	54.751186	77.053497	51.599072	69.738745
M78	34.785613	169.21864	259.011704	111.041489	76.15879	12.988691	125.828503	169.474504	54.607227	121.559856	20.340243	111.001756	209.892864	83.266007	148.594536
M81	49.76886	125.63977	265.659948	73.840062	98.943249	21.169874	107.658769	153.513244	58.544275	146.073289	37.170382	51.324949	201.823295	58.839774	153.012946
M82	0	0.427779	0.139752	4.825477	0	0	16.90314	0	7.675448	0.005231	0.005159	8.95072	0	10.32323	0
M86	0	0.818425	0.17752	0.119956	0.097171	0.200327	0.379756	0	0.267342	0	0.068842	0	0	1.427732	0.111531
M90	132.411981	89.568248	58.508006	175.751166	65.999197	144.284062	74.424662	60.011061	166.651749	65.457028	136.498486	93.054011	78.587625	191.515415	40.980689
M95	92.725054	0.160867	18.4404	0.859156	8.36945	153.118043	4.29578	9.4994	0.28147	8.263807	119.444308	0.86911	18.9037	10.6747	10.186108
M98	0.120205	16.747761	16.4188	69.290378	0.29438	0.056846	24.40551	8.41589	86.175247	0.446181	0.099372	17.530288	15.5219	69.54587	0.563341
N04	0.109271	5.538229	0	3.887998	0	0	5.774387	0.064589	3.902728	0.003885	0	24.204151	0	2.418442	0
N06	216.146992	148.036349	190.869232	147.92558	97.982732	238.768108	151.681117	128.143348	158.792942	105.710805	264.250988	98.41843	159.933895	144.340647	123.523914
N10	0	29.002461	0.092356	22.754787	0	0	1.54491	0.339148	5.030278	0.006896	0	4.326272	0	7.525191	0.009564
N11	0	0	0.375587	0	0	0	0.266581	0	0	0.898601	0	0	0	0	0.480574
P01	59.011576	114.431239	120.780575	63.937865	124.470053	18.26572	118.337289	156.589466	59.119928	109.89447	37.44245	101.789707	127.266141	63.160754	97.439405
S01	34.2631	32.960947	8.75345	7.323297	39.1464	3.20155	6.187409	78.8802	0.635474	25.957	4.47115	10.953248	21.2542	0.726759	30.2885
S01A	93.551872	242.708134	320.726534	138.504875	332.488239	31.898735	198.357761	321.211024	109.961662	241.670354	59.804393	111.922271	281.959826	107.107069	273.934215
S01B	17.958693	59.856834	135.546602	112.191332	57.220825	7.651179	65.402966	43.295194	148.23337	52.881719	13.479908	50.722183	92.513057	151.956759	62.642039
S01C	287.384032	581.873196	408.30023	558.535059	399.759022	181.430822	569.656453	522.881991	499.96449	347.725173	217.069353	412.428999	432.410848	485.578897	293.107558
S01D	0	19.637939	0.691034	23.952476	0.051656	0	1.747277	0	3.851735	0.024786	0	4.350289	0.40926	5.417661	0.080467
S01E	0	0	0	0	0	0	0	0	0	0.049673	0.102757	0	0	0	0
S06	10.8209	1.144	0.282485	1.97745	7.33649	1.60072	0.253886	0.236061	0.856879	1.74326	2.22486	0.068321	0.171381	0.451638	1.26783
S08	0.317298	4.31021	0	3.17927	0	0	5.47597	0	5.335868	0	0	2.432488	0	5.87795	0
S08A	557.861724	451.948535	426.744754	694.742095	512.874967	487.091139	415.008145	471.058223	695.353516	428.411494	491.135009	432.442826	519.880519	594.693493	321.376457
S08B	13.024981	83.318059	0.213613	136.130114	6.959214	1.459922	23.495693	0.730484	115.65862	2.333018	2.475785	37.641578	0.472839	114.616186	1.286154
S09	2444.199261	2199.495609	2331.520005	1734.644553	2267.981704	2349.146021	2095.526369	2505.510383	1588.901704	2187.982926	2279.917566	2047.381769	2451.573157	1749.256476	1908.816285
S09A	133.379955	377.102496	195.611787	292.447042	106.902119	130.233207	462.812424	135.07445	203.937307	120.401032	135.831148	244.922656	187.658865	249.339831	114.445068
S09B	221.215778	247.870246	225.414687	203.791846	356.053431	66.700585	316.541483	303.57475	175.12853	335.382189	132.515026	267.813633	307.458038	174.500667	206.807234
S09C	153.285976	307.546008	231.662604	315.853578	187.781598	161.627779	386.050041	242.761626	239.632627	141.698423	153.240121	252.759826	239.770921	288.68655	146.247264
S09D	77.1087	25.561699	35.746401	5.935186	94.542345	20.83643	34.626331	64.129389	5.290512	88.892298	39.317266	44.60435	69.767292	5.892586	47.995408
S10	112.803594	101.930123	81.223781	116.875117	142.302859	29.656288	130.724502	118.113954	123.470569	133.615324	55.245511	106.307819	132.194129	108.960534	81.52524
S11	284.613187	302.113252	256.050262	222.991203	231.78268	296.540382	293.600563	312.242529	182.487473	207.877676	291.685271	220.72615	270.533911	197.337104	199.490351
S12	1046.014478	1292.520727	1445.417477	803.394096	1286.253985	604.568742	1427.760705	1324.556936	648.667344	1322.161809	750.868397	1298.971543	1513.864506	690.155279	1080.101755
S13	183.415449	82.49502	158.436666	107.970333	174.172211	161.284449	76.314536	149.676354	137.509344	156.267999	161.372248	96.190489	156.099432	123.96887	129.790794
S14	235.08485	532.539081	278.864979	704.527198	217.653361	210.527907	515.673114	332.995473	755.508922	186.868098	213.63834	396.161803	317.66218	673.795874	172.154653
S15	362.739425	81.146125	122.648764	71.727253	147.944134	323.792314	80.740335	129.006991	64.134379	137.612113	285.786553	86.001516	132.705248	71.240661	109.636841
S16	701.252977	582.931662	636.316472	511.651246	576.420653	794.483415	527.682729	641.07847	462.324531	550.010264	799.290063	439.424657	625.433026	482.953902	502.195091
S24	360.924572	493.568672	408.458746	515.917976	614.390441	331.677406	452.177961	511.764699	508.849915	447.359577	325.050088	363.5958	424.935618	482.659193	376.317477
S26A	131.711878	227.982739	142.102075	215.999577	134.740699	142.631523	171.731417	173.525446	205.596284	120.76472	145.185308	159.484897	154.183248	198.536744	111.401068
S26B	0	0	0	0.082148	0	0	0	0	0.026214	0	0	0.667654	0	0.92139	0
S26C	4.454509	90.353235	106.760317	44.412303	45.745926	5.024629	95.488301	48.053918	31.422892	54.405646	12.47045	78.709229	63.935987	24.270023	57.4042
S28	0	0	0	0	2.082024	0	3.10714	0	0	2.771427	0	1.40026	0	0	5.38136
S33	3589.449912	3240.356711	3487.612656	2021.044348	2603.1081	4119.770738	2732.709735	3113.95385	1773.624755	2616.945595	3766.760058	2883.723033	3183.62751	2054.441332	2701.6039
S41	0	0	0	0.314627	0	0	0	0	0.24148	0.594592	0.858568	0	0	0.482478	0
S41A	437.04804	345.68841	336.1432	522.362984	366.73967	327.836901	439.379434	345.246711	617.388088	347.786538	335.012367	372.599504	391.425953	543.866643	259.777779
S41B	104.468486	101.708344	102.391334	194.8624	136.070509	28.071647	102.470197	126.291495	212.439246	126.076119	54.125454	126.505787	148.433869	178.888887	67.313915
S45	396.039387	203.07119	223.247121	90.093931	313.705061	342.325731	243.996175	291.506631	65.24398	287.017497	309.468312	276.837686	283.766276	112.173493	202.319466
S46	0.267807	0.427475	2.21532	0.302451	0.02389	0.09106	1.963999	0.916593	0.328329	0.032889	0.012994	4.142007	2.690264	0.251197	0.013278
S49A	154.274421	215.028716	196.718811	235.278405	117.479774	145.379109	200.405054	216.891222	203.716157	129.495952	134.139289	146.273226	211.803038	182.39474	123.778698
S49B	135.179918	95.64662	46.265034	60.631245	76.206204	128.113239	112.563143	63.490939	75.804827	48.225834	117.230049	97.591987	43.846851	73.72666	53.557336
S49C	549.396081	365.223666	354.53735	252.688461	393.521327	598.027458	476.882226	421.910214	184.262708	371.520231	584.684129	367.996189	420.188681	234.591238	296.621748
S51	0.113576	9.480538	2.080075	18.09926	0.699443	0	57.763488	1.143101	26.850163	0.466118	0	49.602114	1.87954	37.343509	0.070501
S53	0	0	1.106295	0	2.919087	0	1.966556	0	0	3.530309	0.020133	2.029212	0.070974	0	6.385598
S54	426.668909	486.935029	424.710538	510.787521	457.693858	336.806328	393.983712	516.489171	463.129433	383.830913	363.422723	404.067164	459.163706	505.470668	339.348176
S55	0	0.34649	0.02529	2.97047	0	0	0.63047	0	4.04142	0.016808	0	1.46191	0.091784	6.78413	0
S59	0	0	0.24109	0	0.417424	0	0.334488	0	0	0.738404	0	0.421709	0.045712	0	1.104454
S66	53.158522	16.56511	22.420625	16.085105	68.053051	12.967356	37.402533	45.303985	15.882908	47.724803	21.116421	50.156282	63.532671	33.315376	26.419965
S78	77.01191	225.436055	228.16047	106.530712	147.18829	22.587866	263.42864	250.680261	69.809645	173.555896	43.880688	125.100449	218.936719	84.671035	155.903971
S82	29.4492	14.27348	19.053016	19.79699	42.809212	8.34964	18.74875	36.6499	23.91715	40.53394	16.1111	18.799199	34.3763	8.28551	22.15222
S85	322.008451	187.274231	168.351431	170.741577	195.482781	404.869872	244.063658	144.653152	225.380005	127.654497	322.408212	185.273651	179.09251	189.253213	160.157158
