genus	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Zygotorulaspora	0.003040993	0.001012525	0.001012043	0.004030186	0.005049128	0.002020059	0.002023288	0.004051043	0.004053013	0.001016291	0.002018428	0.002020835	0.001020721	0.001017822	0
Neobacillus	0.002027328	0.001012525	0.001012043	0.004030186	0.005049128	0.002020059	0.002023288	0.006076565	0.004053013	0.001016291	0.002018428	0.003031252	0	0	0
Rhodoluna	0.005068321	0.00607515	0.007084303	0.001007547	0.001009826	0.00101003	0	0.001012761	0	0.003048873	0.001009214	0.001010417	0.002041441	0.002035644	0.002035831
Syntrophus	0.005068321	0.007087675	0.007084303	0.001007547	0.001009826	0.00101003	0.001011644	0.001012761	0.002026507	0.001016291	0.001009214	0.001010417	0.001020721	0.001017822	0.002035831
Carnobacterium	0.002027328	0	0.001012043	0.00302264	0.004039302	0.002020059	0.001011644	0.003038282	0.002026507	0.002032582	0.003027642	0.00404167	0.001020721	0.002035644	0.002035831
Kurthia	0.002027328	0	0.001012043	0.004030186	0.004039302	0.003030089	0.002023288	0.006076565	0.004053013	0.002032582	0.002018428	0.002020835	0	0	0
Chania	0.002027328	0.001012525	0.001012043	0.002015093	0.003029477	0.003030089	0.003034932	0.005063804	0.004053013	0.005081456	0.001009214	0.002020835	0	0	0
Methylotenera	0.007095649	0.00607515	0.00607226	0.002015093	0.002019651	0.00101003	0.001011644	0.002025522	0.002026507	0.001016291	0	0.001010417	0.001020721	0	0
Eikenella	0	0	0	0	0	0	0	0	0.001013253	0.007114038	0.001009214	0.003031252	0.009186486	0.00508911	0.005089577
Sulfurovum	0.001013664	0	0	0.002015093	0.001009826	0.00101003	0.001011644	0.006076565	0.00303976	0.003048873	0.002018428	0.001010417	0.004082883	0.003053466	0.003053746
Denitrovibrio	0.002027328	0.001012525	0.001012043	0.004030186	0.005049128	0.002020059	0.002023288	0.004051043	0.004053013	0.001016291	0.001009214	0.00404167	0	0	0
Lacimicrobium	0.005068321	0.003037575	0.00303613	0.002015093	0.001009826	0.00101003	0	0.003038282	0.001013253	0.004065165	0.002018428	0.001010417	0.003062162	0.001017822	0.001017915
Aminipila	0.003040993	0	0.001012043	0.004030186	0.005049128	0.003030089	0.002023288	0.004051043	0.004053013	0.001016291	0.001009214	0.001010417	0.001020721	0	0.001017915
Collinsella	0	0	0	0	0	0	0	0	0.001013253	0.002032582	0.002018428	0.003031252	0.007145044	0.009160399	0.006107492
Halalkalicoccus	0	0	0	0	0	0	0.001011644	0	0.001013253	0.001016291	0.002018428	0.002020835	0.006124324	0.009160399	0.008143322
Desulfoglaeba	0	0	0	0	0	0	0.002023288	0.002025522	0.00303976	0.002032582	0.002018428	0.003031252	0.006124324	0.006106932	0.004071661
Desulfatibacillum	0	0	0	0	0.001009826	0.00101003	0.003034932	0.002025522	0.00303976	0.003048873	0.002018428	0.002020835	0.004082883	0.004071288	0.005089577
Ornithobacterium	0.003040993	0	0.001012043	0.00302264	0.002019651	0.00101003	0.002023288	0.002025522	0.00303976	0.001016291	0.001009214	0.00404167	0.002041441	0.001017822	0.004071661
Herminiimonas	0.002027328	0.001012525	0.001012043	0.001007547	0.001009826	0.00101003	0.002023288	0.001012761	0.001013253	0.006097747	0.001009214	0.002020835	0.005103603	0.002035644	0.003053746
Bacteriovorax	0.002027328	0.001012525	0.001012043	0.004030186	0.004039302	0.002020059	0.002023288	0.004051043	0.004053013	0.001016291	0.001009214	0.002020835	0.001020721	0.001017822	0
Kluyvera	0.005068321	0.005062625	0.005060217	0.001007547	0.001009826	0.00101003	0	0.001012761	0.001013253	0.002032582	0.001009214	0.001010417	0.003062162	0.001017822	0.002035831
Secundilactobacillus	0.002027328	0.001012525	0.001012043	0.004030186	0.005049128	0.003030089	0.002023288	0.004051043	0.005066267	0.001016291	0.001009214	0.001010417	0	0	0
Parashewanella	0.007095649	0.005062625	0.005060217	0.001007547	0.001009826	0.00101003	0	0.002025522	0.001013253	0.001016291	0.001009214	0.001010417	0.002041441	0.001017822	0.001017915
Paraflavitalea	0.003040993	0	0.001012043	0.00302264	0.002019651	0.00101003	0.001011644	0.001012761	0.001013253	0.002032582	0.003027642	0.003031252	0.003062162	0.003053466	0.002035831
unclassified Enterobacteriaceae	0.001013664	0	0	0.001007547	0.002019651	0.003030089	0.003034932	0.002025522	0.00303976	0.002032582	0.003027642	0.003031252	0.002041441	0.002035644	0.002035831
Simkania	0.002027328	0	0.001012043	0.00302264	0.004039302	0.002020059	0.002023288	0.004051043	0.004053013	0.001016291	0.001009214	0.002020835	0.001020721	0.001017822	0.001017915
Methylophaga	0.005068321	0.005062625	0.005060217	0.001007547	0.002019651	0.003030089	0	0.002025522	0.001013253	0.001016291	0.001009214	0.001010417	0.001020721	0	0.001017915
Staphylospora	0	0	0	0	0	0	0	0	0.001013253	0.001016291	0.002018428	0.001010417	0.007145044	0.010178221	0.006107492
Desulfopila	0.001013664	0	0	0.001007547	0.001009826	0	0	0.002025522	0.002026507	0.003048873	0.004036856	0.003031252	0.004082883	0.003053466	0.004071661
Swingsia	0	0	0	0	0	0	0	0.004051043	0.002026507	0.003048873	0.004036856	0.003031252	0.005103603	0.004071288	0.003053746
Sulfuriflexus	0.001013664	0.001012525	0.001012043	0	0	0	0	0	0.001013253	0.007114038	0.001009214	0.003031252	0.008165765	0.002035644	0.003053746
Virgibacillus	0.002027328	0	0.001012043	0.00302264	0.003029477	0.00101003	0.001011644	0.003038282	0.00303976	0.001016291	0.003027642	0.003031252	0.001020721	0.001017822	0.002035831
Desulfotomaculum	0.001013664	0	0	0.001007547	0.002019651	0.002020059	0.003034932	0.002025522	0.00303976	0.002032582	0.002018428	0.002020835	0.003062162	0.003053466	0.002035831
Barnesiella	0.004054657	0.005062625	0.00607226	0.001007547	0.001009826	0.00101003	0	0	0	0.002032582	0.002018428	0.002020835	0.002041441	0.001017822	0.001017915
Scandinavium	0.004054657	0.005062625	0.00607226	0.001007547	0.001009826	0.00101003	0	0.001012761	0.001013253	0.001016291	0.001009214	0.001010417	0.001020721	0.002035644	0.002035831
Pelolinea	0	0	0	0	0	0	0	0	0	0.001016291	0.001009214	0.003031252	0.006124324	0.008142577	0.008143322
Fusobacterium	0.001013664	0	0	0.002015093	0.002019651	0.00101003	0.002023288	0.002025522	0.002026507	0.001016291	0.007064499	0.006062504	0	0	0.001017915
Filimonas	0.001013664	0	0.001012043	0.002015093	0.003029477	0.00101003	0.001011644	0.003038282	0.00303976	0.001016291	0.004036856	0.003031252	0.001020721	0.001017822	0.002035831
Peribacillus	0.001013664	0	0.001012043	0.002015093	0.003029477	0.002020059	0.001011644	0.004051043	0.00303976	0.001016291	0.002018428	0.003031252	0.002041441	0.001017822	0.001017915
Biomaibacter	0.001013664	0	0.001012043	0.00302264	0.004039302	0.002020059	0.001011644	0.002025522	0.00303976	0.001016291	0.001009214	0.002020835	0.002041441	0.002035644	0.002035831
Thiomicrorhabdus	0.003040993	0.003037575	0.002024087	0.001007547	0.001009826	0.00101003	0.001011644	0.002025522	0.001013253	0.002032582	0.002018428	0.002020835	0.002041441	0.002035644	0.002035831
Solibacillus	0.002027328	0	0.001012043	0.00302264	0.003029477	0.002020059	0.002023288	0.004051043	0.004053013	0.001016291	0.001009214	0.002020835	0.001020721	0	0.001017915
Intestinibaculum	0.002027328	0.001012525	0.001012043	0.00302264	0.004039302	0.002020059	0.001011644	0.004051043	0.004053013	0.001016291	0.002018428	0.002020835	0	0	0
Hydrogenobacter	0.002027328	0.001012525	0.001012043	0.00302264	0.004039302	0.002020059	0.002023288	0.004051043	0.004053013	0.001016291	0.001009214	0.002020835	0	0	0
Desulfobacter	0.001013664	0.001012525	0	0	0	0	0	0	0	0.002032582	0.001009214	0.002020835	0.006124324	0.006106932	0.007125407
Yarrowia	0	0	0	0.001007547	0.001009826	0.00101003	0	0	0.001013253	0.001016291	0.002018428	0.002020835	0.005103603	0.007124754	0.005089577
Acidiferrobacter	0.001013664	0	0	0.001007547	0	0	0.002023288	0.001012761	0.002026507	0.004065165	0.001009214	0.00404167	0.005103603	0.002035644	0.003053746
Thiomicrospira	0.004054657	0.003037575	0.00303613	0.002015093	0.001009826	0.00101003	0	0.003038282	0.001013253	0.003048873	0	0.002020835	0.001020721	0.001017822	0.001017915
